id_periode,id_petani,bulan_tanam,luas_tanam_m2,bulan_panen,luas_panen_m2,produksi_dalam_gunca,gunca_kg,pengeluaran_rp,harga_jual_perkg,hasil_panen_dijual,status_pengelolaan,jml_tanam_padi_1th,jenis_lahan,air_multi_tanam,pemupukan,jenis_pupuk,pengendalian_hama,jenis_hama,penyakit_padi,pestisida,pengendalian_gulma,cara_pengendalian_gulma
PRD067,PTN035,nov - jan,4000,April,4000,10.0,1800,5.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Wereng, Hama putih, Siput Murbai/Keong","Tungro, Busuk batang",Ada,Ada,Mencabut rumput
PRD068,PTN036,mei - juli,4000,Oktober,4000,10.0,1800,5.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Wereng, Hama putih, Siput Murbai/Keong","Tungro, Busuk batang",Ada,Ada,Mencabut rumput
PRD069,PTN037,nov - jan,2000,Maret,2000,10.0,1800,2.000.000,6500,Tidak,Milik sendiri,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Wereng, Hama putih, Siput Murbai/Keong",Busuk batang,Ada,Ada,Mencabut rumput
PRD070,PTN037,mei - juli,2000,Oktober,2000,10.0,1800,2.000.000,6500,Tidak,Milik sendiri,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Wereng, Hama putih, Siput Murbai/Keong",Busuk batang,Ada,Ada,Mencabut rumput
PRD071,PTN038,nov - jan,2000,Maret,2000,3.0,600,500.000,6500,Tidak,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Belalang, Siput Murbai/Keong",Bercak daun,Tidak,Tidak,Mencabut rumput
PRD072,PTN038,mei - juli,2000,Oktober,2000,3.0,600,500.000,6500,Tidak,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Belalang, Siput Murbai/Keong",Bercak daun,Tidak,Tidak,Mencabut rumput
PRD073,PTN039,nov - jan,1000,Maret,1000,3.0,600,1.600.000,6500,Ya sebagian,Milik sendiri,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, Pupuk Kandang",Ada,"Tikus, Wereng, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Mencabut rumput
PRD074,PTN040,mei - juli,1000,Oktober,1000,3.0,600,1.600.000,6500,Ya sebagian,Milik sendiri,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, Pupuk Kandang",Ada,"Tikus, Wereng, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Mencabut rumput
PRD075,PTN041,nov - jan,4000,April,4000,8.0,1440,3.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Wereng, Hama putih, Siput Murbai/Keong","Blas, Bercak daun",Ada,Ada,Mencabut rumput
PRD076,PTN042,mei - juli,4000,Oktober,4000,1.0,180,1.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Wereng, Hama putih, Siput Murbai/Keong","Blas, Bercak daun",Ada,Ada,Mencabut rumput
