Date,RH_AVG,RH_AVG_SMA30,RH_AVG_EWMA30
2021-08-18,69.0,69.56666666666666,70.83257167256052
2021-08-18,69.0,69.86666666666666,70.71434124207275
2021-08-19,82.0,70.56666666666666,71.44244825871321
2021-08-20,74.0,71.0,71.60745159686074
2021-08-20,74.0,71.53333333333333,71.76180955835359
2021-08-21,81.0,72.3,72.35782184491143
2021-08-21,81.0,73.13333333333334,72.91538172588488
2021-08-22,84.0,74.06666666666666,73.63051838873102
2021-08-22,84.0,74.86666666666666,74.29951720236127
2021-08-23,78.0,75.46666666666667,74.53825802801538
2021-08-23,78.0,75.76666666666667,74.76159621975633
2021-08-24,81.0,76.16666666666667,75.16407388299785
2021-08-24,81.0,76.56666666666666,75.54058524538509
2021-08-25,70.0,76.6,75.1831281327796
2021-08-25,70.0,75.96666666666667,74.84873276937448
2021-08-26,74.0,75.46666666666667,74.7939758165116
2021-08-26,74.0,75.6,74.74275157028505
2021-08-27,71.0,75.63333333333334,74.50128372704086
2021-08-27,71.0,75.3,74.27539445432855
2021-08-28,71.0,74.96666666666667,74.06407868308153
2021-08-28,71.0,74.83333333333333,73.86639618739886
2021-08-29,76.0,74.86666666666666,74.00404804627635
2021-08-29,76.0,75.06666666666666,74.13281914006497
2021-08-30,79.0,75.36666666666666,74.44683080844787
2021-08-30,79.0,75.6,74.74058365951575
2021-08-31,75.0,75.7,74.7573201976115
2021-08-31,75.0,75.66666666666667,74.77297695905592
2021-09-01,79.0,75.76666666666667,75.0456881229878
2021-09-01,79.0,75.96666666666667,75.30080501827891
2021-09-02,73.0,75.96666666666667,75.15236598484157
2021-09-02,73.0,76.1,75.01350366323888
2021-09-03,72.0,76.2,74.81908407206218
2021-09-03,72.0,75.86666666666666,74.63720768031624
2021-09-04,70.0,75.73333333333333,74.33803299126357
2021-09-04,70.0,75.6,74.05815989505302
2021-09-05,65.0,75.06666666666666,73.47376248246896
2021-09-05,65.0,74.53333333333333,72.92706812876128
2021-09-06,67.0,73.96666666666667,72.54467663658313
2021-09-06,67.0,73.4,72.1869555632552
2021-09-07,67.0,73.03333333333333,71.85231326885163
2021-09-07,67.0,72.66666666666667,71.53926079989346
2021-09-08,74.0,72.43333333333334,71.69801816764226
2021-09-08,74.0,72.2,71.84653312456857
2021-09-09,78.0,72.46666666666667,72.24353098749962
2021-09-09,78.0,72.73333333333333,72.6149160850803
2021-09-10,62.0,72.33333333333333,71.93008278926865
2021-09-10,62.0,71.93333333333334,71.28943228673519
2021-09-11,77.0,72.13333333333334,71.65785601017163
2021-09-11,77.0,72.33333333333333,72.0025104611283
2021-09-12,78.0,72.56666666666666,72.38944527008776
2021-09-12,78.0,72.8,72.75141654298533
2021-09-13,60.0,72.26666666666667,71.92874450795401
2021-09-13,60.0,71.73333333333333,71.15914808808601
2021-09-14,57.0,71.0,70.24565466304821
2021-09-14,57.0,70.26666666666667,69.39109629769025
2021-09-15,71.0,70.13333333333334,69.49489653654895
2021-09-16,72.0,70.03333333333333,69.65651611483611
2021-09-17,69.0,69.7,69.61416023645958
2021-09-17,69.0,69.36666666666666,69.57453699539766
2021-09-18,75.0,69.43333333333334,69.92456686666232
2021-09-18,75.0,69.5,70.25201416558733
2021-09-19,85.0,69.93333333333334,71.20349712264621
2021-09-19,85.0,70.36666666666666,72.09359408247549
2021-09-20,79.0,70.66666666666667,72.53916865779965
2021-09-21,66.0,70.53333333333333,72.11728680890934
2021-09-21,66.0,70.56666666666666,71.72262314381842
2021-09-22,64.0,70.53333333333333,71.22438939260434
2021-09-22,64.0,70.43333333333334,70.7582997543718
2021-09-23,62.0,70.26666666666667,70.19324815731555
2021-09-23,62.0,70.1,69.66465150200486
2021-09-24,71.0,70.23333333333333,69.75080301800455
2021-09-24,71.0,70.13333333333334,69.83139637168168
2021-09-25,70.0,70.0,69.84227402512158
2021-09-25,70.0,69.73333333333333,69.85244989446858
2021-09-26,82.0,69.86666666666666,70.63616280450286
2021-09-27,88.0,70.73333333333333,71.75641036550267
2021-09-28,76.0,71.2,72.03019034192185
2021-09-28,76.0,71.16666666666667,72.28630709405591
2021-09-29,82.0,71.33333333333333,72.91299695895553
2021-09-29,82.0,71.46666666666667,73.49925521966809
2021-09-30,85.0,71.7,74.24123875388304
2021-09-30,85.0,72.53333333333333,74.93535238266477
2021-10-01,74.0,73.0,74.87500706765415
2021-10-01,74.0,73.56666666666666,74.81855499877324
2021-10-02,74.0,74.13333333333334,74.76574499885238
2021-10-03,75.0,74.26666666666667,74.78085822473288
2021-10-04,68.0,74.13333333333334,74.34338350055657
2021-10-04,68.0,74.1,73.93413295213357
