Tanggal,Suhu,Kelembaban,Curah_Hujan
9/9/2012,28.3,71,0
9/10/2012,28.3,69,0
9/11/2012,26,80,8888
9/12/2012,25,84,8888
9/13/2012,26.7,72,8888
9/14/2012,27.7,68,0
9/15/2012,27,75,2
9/16/2012,28.1,70,0
9/17/2012,27.9,73,0
9/18/2012,28.1,70,0
9/19/2012,28.4,67,0
9/20/2012,28.1,70,0
9/21/2012,27.7,70,0
9/22/2012,27.4,72,0
9/23/2012,27.2,74,0
9/24/2012,27.1,71,0
9/25/2012,24.2,97,48
9/26/2012,24.5,90,11
9/27/2012,26.5,76,7
9/28/2012,27.4,76,1
9/29/2012,27.6,73,0
9/30/2012,28,69,0
10/1/2012,25.9,74,0
10/2/2012,27.1,75,0
10/3/2012,26.8,79,0
10/4/2012,27.3,75,0
10/5/2012,27.1,77,0
10/6/2012,27.5,78,0
10/7/2012,27.6,79,0
10/8/2012,27.2,73,0
10/9/2012,26.7,80,0
10/10/2012,26.5,84,0
10/11/2012,27,78,8888
10/12/2012,27.8,78,0
10/13/2012,25.9,83,1
10/14/2012,26.7,79,0
10/15/2012,25,89,49
10/16/2012,25.2,91,10
10/17/2012,25.6,90,1
10/18/2012,25.8,85,9
10/19/2012,26.3,82,0
10/20/2012,27,80,1
10/21/2012,26.5,88,3
10/22/2012,26.5,82,8888
10/23/2012,26.1,85,8888
10/24/2012,26.4,82,6
10/25/2012,26.5,84,2
10/26/2012,25.3,91,2
10/27/2012,25.7,88,11
10/28/2012,26.2,88,8
10/29/2012,27.4,83,0
10/30/2012,25.1,92,15
10/31/2012,,,
11/1/2012,26.1,83,0
11/2/2012,24.1,84,2
11/3/2012,25.7,95,77
11/4/2012,25.8,88,8888
11/5/2012,25.4,86,8888
11/6/2012,25,89,31
11/7/2012,26.1,86,0
11/8/2012,25.5,85,0
11/9/2012,26.2,89,7
11/10/2012,26.5,88,0
11/11/2012,23.6,87,1
11/12/2012,26.5,87,44
11/13/2012,26.6,86,0
11/14/2012,27.1,85,3
11/15/2012,26.3,80,1
11/16/2012,27.1,84,0
11/17/2012,26.4,82,0
11/18/2012,27.4,87,0
11/19/2012,26.7,80,0
11/20/2012,25.5,83,8888
11/21/2012,27,94,7
11/22/2012,27.2,82,0
11/23/2012,26.3,84,8888
11/24/2012,25.5,86,0
11/25/2012,26.7,88,0
11/26/2012,26.6,88,0
11/27/2012,26.9,85,0
11/28/2012,27.6,84,0
11/29/2012,26.3,79,3
11/30/2012,26.3,88,24
12/1/2012,25.4,92,23
12/2/2012,25.9,84,0
12/3/2012,27.3,82,0
12/4/2012,27.4,80,0
12/5/2012,27.3,80,0
12/6/2012,26.9,81,2
12/7/2012,26.1,82,28
12/8/2012,26.1,88,0
12/9/2012,26.1,87,2
12/10/2012,25.7,89,1
12/11/2012,25.8,88,7
12/12/2012,26.1,86,0
12/13/2012,27.1,81,8888
12/14/2012,27.3,82,28
12/15/2012,25.8,90,1
12/16/2012,26.3,88,4
12/17/2012,25.6,88,5
12/18/2012,26.9,77,6
12/19/2012,25.7,90,14
12/20/2012,26.9,81,2
12/21/2012,26.3,85,8888
12/22/2012,26.8,82,4
12/23/2012,25.5,92,11
12/24/2012,26.5,82,
12/25/2012,26.2,84,11
12/26/2012,26.8,85,
12/27/2012,27.3,81,
12/28/2012,27,79,0
12/29/2012,26.7,84,
12/30/2012,26.5,82,
12/31/2012,26.9,85,3
1/1/2013,28.3,78,1
1/2/2013,25.9,92,97.7
1/3/2013,26.8,84,0.7
1/4/2013,26.3,85,69.9
1/5/2013,26.1,88,8888
1/6/2013,26.9,84,8888
1/7/2013,27.5,82,
1/8/2013,27.4,82,1.8
1/9/2013,26.5,88,8888
1/10/2013,26.3,80,
1/11/2013,26.9,78,
1/12/2013,26,78,
1/13/2013,25.9,90,33.5
1/14/2013,26.4,86,
1/15/2013,26.9,82,
1/16/2013,26.8,87,8888
1/17/2013,26.7,83,9.6
1/18/2013,26.6,78,
1/19/2013,27.3,79,19.2
1/20/2013,25.4,90,13.4
1/21/2013,27.4,78,
1/22/2013,27.5,83,
1/23/2013,27.2,83,3.8
1/24/2013,27,84,9.7
1/25/2013,26.1,86,0.7
1/26/2013,27.2,83,
1/27/2013,26.6,87,1.2
1/28/2013,26.7,84,8888
1/29/2013,26.3,86,2.2
1/30/2013,26.7,82,0.8
1/31/2013,27.5,84,18.1
2/1/2013,26.8,85,0.5
2/2/2013,26.9,83,8888
2/3/2013,27.3,80,
2/4/2013,26,88,4.5
2/5/2013,26.1,89,23.5
2/6/2013,26.1,88,6
2/7/2013,26.3,89,1.7
2/8/2013,26.4,80,
2/9/2013,26.6,82,1.5
2/10/2013,27.4,82,8888
2/11/2013,26.4,84,5.2
2/12/2013,27.2,82,
2/13/2013,24.6,94,33.6
2/14/2013,26.9,80,
2/15/2013,27.9,88,
2/16/2013,26.4,78,4.5
2/17/2013,25.4,85,14.7
2/18/2013,25.6,86,8
2/19/2013,26,88,
2/20/2013,25.5,79,
2/21/2013,25.9,83,
2/22/2013,26.5,82,
2/23/2013,26.6,77,
2/24/2013,26.2,85,13.2
2/25/2013,26.1,86,5.2
2/26/2013,25.3,90,3
2/27/2013,27.5,80,
2/28/2013,26.3,86,11
3/1/2013,26,89,18
3/2/2013,26.7,87,1
3/3/2013,26.8,91,1.5
3/4/2013,26.2,83,
3/5/2013,27.2,82,
3/6/2013,27.7,75,
3/7/2013,27.4,80,
3/8/2013,27.8,80,
3/9/2013,26.8,83,1
3/10/2013,27.5,84,
3/11/2013,27.5,84,
3/12/2013,27.8,84,
3/13/2013,27.3,84,
3/14/2013,26.4,85,8888
3/15/2013,27.7,81,
3/16/2013,27.8,81,
3/17/2013,27.8,82,
3/18/2013,27.1,86,12
3/19/2013,27.4,79,
3/20/2013,28,81,
3/21/2013,27.7,82,
3/22/2013,27,85,
3/23/2013,27.2,86,16.5
3/24/2013,26.5,91,9.7
3/25/2013,28.1,84,
3/26/2013,28,82,
3/27/2013,27.4,82,
3/28/2013,27.9,81,30
3/29/2013,27.8,84,
3/30/2013,28,85,
3/31/2013,28,85,
4/1/2013,27.8,86,6.5
4/2/2013,27.8,81,
4/3/2013,27.6,86,
4/4/2013,27.8,82,
4/5/2013,28.4,78,
4/6/2013,28.3,76,
4/7/2013,27.8,78,
4/8/2013,28,81,
4/9/2013,27.6,84,2
4/10/2013,25.6,92,15.2
4/11/2013,26.9,83,15.6
4/12/2013,27.6,82,0.3
4/13/2013,27,89,8888
4/14/2013,25.4,94,17.1
4/15/2013,26.3,89,1.6
4/16/2013,28,76,10.8
4/17/2013,27.7,76,
4/18/2013,28.1,76,
4/19/2013,27.6,84,
4/20/2013,27.5,83,
4/21/2013,28.3,84,
4/22/2013,27.1,80,
4/23/2013,28.2,80,
4/24/2013,27.3,86,16.1
4/25/2013,26.3,88,2.6
4/26/2013,25.7,89,
4/27/2013,25.8,92,16.8
4/28/2013,26.9,86,
4/29/2013,27.7,80,
4/30/2013,27.2,84,1.6
5/1/2013,26.7,85,2.7
5/2/2013,26.7,87,27
5/3/2013,26,89,6.5
5/4/2013,27.1,86,29
5/5/2013,27.3,85,23.5
5/6/2013,26.9,88,3.5
5/7/2013,27.3,87,5.5
5/8/2013,27.8,84,5
5/9/2013,27.7,83,
5/10/2013,25.9,94,16.7
5/11/2013,26.8,82,1
5/12/2013,27,78,1.5
5/13/2013,27.4,85,8888
5/14/2013,27.9,82,3.5
5/15/2013,28.6,75,3
5/16/2013,28.5,76,
5/17/2013,28.9,77,8888
5/18/2013,27.4,85,
5/19/2013,28.8,76,
5/20/2013,28.1,73,
5/21/2013,27.6,81,
5/22/2013,26.8,78,
5/23/2013,29.8,64,
5/24/2013,27.9,78,
5/25/2013,26.2,86,8888
5/26/2013,26.2,80,
5/27/2013,27.7,73,8888
5/28/2013,25.8,87,2.7
5/29/2013,27.5,75,
5/30/2013,27.9,75,
5/31/2013,27.3,76,
6/1/2013,28.1,78,65
6/2/2013,27.4,80,
6/3/2013,27.9,76,11.7
6/4/2013,27.7,73,
6/5/2013,28.6,67,
6/6/2013,27.8,76,
6/7/2013,28.9,76,
6/8/2013,27.7,78,8888
6/9/2013,27,79,1.5
6/10/2013,28.2,76,7.9
6/11/2013,25.2,90,12.9
6/12/2013,28.5,67,33.6
6/13/2013,27.3,75,18.2
6/14/2013,29.8,66,
6/15/2013,28.7,72,2.5
6/16/2013,27.9,80,2
6/17/2013,29.5,69,1.7
6/18/2013,26.5,82,2.2
6/19/2013,27.3,81,3.8
6/20/2013,28.4,72,
6/21/2013,30,64,
6/22/2013,30.4,63,
6/23/2013,30.4,57,4.2
6/24/2013,29.2,67,
6/25/2013,27.3,77,
6/26/2013,27.5,77,
6/27/2013,27.4,76,
6/28/2013,26.9,76,
6/29/2013,27,79,
6/30/2013,27.4,79,
7/1/2013,27.7,74,1.2
7/2/2013,27.2,77,1.5
7/3/2013,25.6,83,38
7/4/2013,26.5,74,
7/5/2013,28.2,72,
7/6/2013,26.5,81,
7/7/2013,27.5,76,13.6
7/8/2013,26.4,78,2.4
7/9/2013,27.6,71,8
7/10/2013,27,82,
7/11/2013,26.8,81,
7/12/2013,26.3,78,
7/13/2013,28.6,64,
7/14/2013,28.5,69,
7/15/2013,29.6,61,11.4
7/16/2013,25,86,6.2
7/17/2013,27.3,70,
7/18/2013,27.7,70,
7/19/2013,27.4,70,
7/20/2013,28.7,62,
7/21/2013,27.1,71,
7/22/2013,27.9,71,8888
7/23/2013,30.1,56,
7/24/2013,27.5,72,
7/25/2013,27.8,77,
7/26/2013,27.9,78,
7/27/2013,27,82,
7/28/2013,27.2,82,
7/29/2013,28.1,72,
7/30/2013,30.6,56,
7/31/2013,28.5,70,1.5
8/1/2013,26.2,76,0.2
8/2/2013,27.2,78,8888
8/3/2013,27.3,72,8888
8/4/2013,26.2,78,1
8/5/2013,25.5,81,1.5
8/6/2013,26.9,78,
8/7/2013,28.2,64,1.8
8/8/2013,27.2,69,7.4
8/9/2013,27.1,77,2.2
8/10/2013,26.5,80,12.5
8/11/2013,25.2,87,1.2
8/12/2013,25.9,78,1.6
8/13/2013,26.5,78,2.7
8/14/2013,27.4,74,
8/15/2013,28.1,69,
8/16/2013,27.4,79,
8/17/2013,27.4,83,8888
8/18/2013,26.5,84,8888
8/19/2013,26.9,80,
8/20/2013,27.7,76,
8/21/2013,26.4,76,
8/22/2013,27.6,70,
8/23/2013,27.5,66,
8/24/2013,27.9,69,
8/25/2013,27.2,76,
8/26/2013,27.4,78,
8/27/2013,27.2,80,
8/28/2013,27.4,80,8888
8/29/2013,27,78,
8/30/2013,27.6,81,
8/31/2013,26.4,86,8.3
9/1/2013,26,89,4
9/2/2013,25.7,89,114
9/3/2013,26.4,88,8.8
9/4/2013,25.5,88,2
9/5/2013,25.5,86,
9/6/2013,25.6,72,8888
9/7/2013,25.9,80,
9/8/2013,26.7,77,
9/9/2013,26.3,83,1.9
9/10/2013,26,81,30
9/11/2013,25.3,84,3.9
9/12/2013,26.6,78,8888
9/13/2013,27.4,72,
9/14/2013,26.9,71,
9/15/2013,27.4,74,
9/16/2013,27.5,72,
9/17/2013,28.2,66,
9/18/2013,25.9,78,
9/19/2013,29.2,58,
9/20/2013,29.8,61,
9/21/2013,29.1,62,
9/22/2013,29.7,64,
9/23/2013,28,70,
9/24/2013,28.5,69,
9/25/2013,28.8,70,
9/26/2013,28.5,71,
9/27/2013,28.3,70,
9/28/2013,27.9,70,
9/29/2013,30,61,
9/30/2013,29.7,67,8888
10/1/2013,27.6,76,
10/2/2013,27.7,75,2
10/3/2013,27.2,76,
10/4/2013,26.4,79,
