_id,Date,Year,Month,Day,TN,TX,TAVG,__v
689175a03cfdbc8f3403c5cf,2005-06-19,2005,6,19,19,31,25,0
689175a03cfdbc8f3403c5d0,2005-06-20,2005,6,20,19,31.8,25.4,0
689175a03cfdbc8f3403c5d1,2005-06-21,2005,6,21,19,34,26.5,0
689175a03cfdbc8f3403c5d2,2005-06-22,2005,6,22,19,35,27,0
689175a03cfdbc8f3403c5d3,2005-06-23,2005,6,23,19,35,27,0
689175a03cfdbc8f3403c5d4,2005-06-24,2005,6,24,19,35,27,0
689175a03cfdbc8f3403c5d5,2005-06-25,2005,6,25,19,33.6,26.3,0
689175a03cfdbc8f3403c5d6,2005-06-26,2005,6,26,19,34.6,26.8,0
689175a03cfdbc8f3403c5d7,2005-06-27,2005,6,27,19,35.6,27.3,0
689175a03cfdbc8f3403c5d8,2005-06-28,2005,6,28,19,35.6,27.3,0
689175a03cfdbc8f3403c5d9,2005-06-29,2005,6,29,18,35.8,26.9,0
689175a03cfdbc8f3403c5da,2005-06-30,2005,6,30,14,35.6,24.8,0
689175a03cfdbc8f3403c5db,2005-07-01,2005,7,1,18,35.6,26.8,0
689175a03cfdbc8f3403c5dc,2005-07-02,2005,7,2,18,35.6,26.8,0
689175a03cfdbc8f3403c5dd,2005-07-03,2005,7,3,18,35.6,26.8,0
689175a03cfdbc8f3403c5de,2005-07-04,2005,7,4,18,35.6,26.8,0
689175a03cfdbc8f3403c5df,2005-07-05,2005,7,5,18,36,27,0
689175a03cfdbc8f3403c5e0,2005-07-06,2005,7,6,18,31.8,24.9,0
689175a03cfdbc8f3403c5e1,2005-07-07,2005,7,7,18,36,27,0
689175a03cfdbc8f3403c5e2,2005-07-08,2005,7,8,18,36,27,0
689175a03cfdbc8f3403c5e3,2005-07-09,2005,7,9,18,36,27,0
689175a03cfdbc8f3403c5e4,2005-07-10,2005,7,10,18,35.6,26.8,0
689175a03cfdbc8f3403c5e5,2005-07-11,2005,7,11,23,36,29.5,0
689175a03cfdbc8f3403c5e6,2005-07-12,2005,7,12,18,35.4,26.7,0
689175a03cfdbc8f3403c5e7,2005-07-13,2005,7,13,24,33.2,28.6,0
689175a03cfdbc8f3403c5e8,2005-07-14,2005,7,14,21,33.4,27.2,0
689175a03cfdbc8f3403c5e9,2005-07-15,2005,7,15,23,33,28,0
689175a03cfdbc8f3403c5ea,2005-07-16,2005,7,16,19,34.6,26.8,0
689175a03cfdbc8f3403c5eb,2005-07-17,2005,7,17,22,33.4,27.7,0
689175a03cfdbc8f3403c5ec,2005-07-18,2005,7,18,19,33.4,26.2,0
689175a03cfdbc8f3403c5ed,2005-07-19,2005,7,19,22,35.4,28.7,0
689175a03cfdbc8f3403c5ee,2005-07-20,2005,7,20,19,31.6,25.3,0
689175a03cfdbc8f3403c5ef,2005-07-21,2005,7,21,22,33.6,27.8,0
689175a03cfdbc8f3403c5f0,2005-07-22,2005,7,22,19,30.6,24.8,0
689175a03cfdbc8f3403c5f1,2005-07-23,2005,7,23,24,34.2,29.1,0
