_id,Date,Year,month,day,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS10M,WS10M_MAX,WD10M,__v
6958bb42a2106ae9c65ee87d,2005-04-09T00:00:00.000Z,2005,4,9,27.02,29.58,25.36,75.34,2.74,18.03,4.97,6.23,200.8,0
6958bb42a2106ae9c65ee87e,2005-04-10T00:00:00.000Z,2005,4,10,27.6,30.74,24.84,73.53,0.3,23.72,3.01,3.89,244.6,0
6958bb42a2106ae9c65ee87f,2005-04-11T00:00:00.000Z,2005,4,11,27.62,29.5,26.21,77.41,0.31,21.95,2.66,3.79,248.1,0
6958bb42a2106ae9c65ee880,2005-04-12T00:00:00.000Z,2005,4,12,27.97,30.39,26.45,75.7,0.53,24.66,1.88,3.68,340.7,0
6958bb42a2106ae9c65ee881,2005-04-13T00:00:00.000Z,2005,4,13,28.32,31.45,26.11,75.03,0.71,23.59,1.78,3.01,357.9,0
6958bb42a2106ae9c65ee882,2005-04-14T00:00:00.000Z,2005,4,14,27.79,30.09,26.14,79.41,2.28,22.06,2.76,4.61,36.4,0
6958bb42a2106ae9c65ee883,2005-04-15T00:00:00.000Z,2005,4,15,28.08,30.51,26.02,74.95,0.99,21.38,1.95,3.06,55.5,0
6958bb42a2106ae9c65ee884,2005-04-16T00:00:00.000Z,2005,4,16,28.24,30.23,26.73,72.09,3.16,13.7,2.63,3.83,190.1,0
6958bb42a2106ae9c65ee885,2005-04-17T00:00:00.000Z,2005,4,17,27.43,29.45,25.89,72.9,4.72,21.45,1.89,3.27,191.1,0
6958bb42a2106ae9c65ee886,2005-04-18T00:00:00.000Z,2005,4,18,28.17,30.66,26.58,72.13,3.9,22.66,1.47,2.39,340.3,0
6958bb42a2106ae9c65ee887,2005-04-19T00:00:00.000Z,2005,4,19,28.34,31.17,25.92,71.46,0.9,24.05,2.49,3.63,40.8,0
6958bb42a2106ae9c65ee888,2005-04-20T00:00:00.000Z,2005,4,20,28.6,31.13,26.31,73.3,14.49,23.3,3.51,5.23,64.7,0
6958bb42a2106ae9c65ee889,2005-04-21T00:00:00.000Z,2005,4,21,28.72,30.89,26.77,71.62,4.42,17.61,1.55,3.17,81.5,0
6958bb42a2106ae9c65ee88a,2005-04-22T00:00:00.000Z,2005,4,22,28.06,29.71,27.01,75.65,2.52,18.93,1.63,2.9,25.8,0
6958bb42a2106ae9c65ee88b,2005-04-23T00:00:00.000Z,2005,4,23,28.5,30.52,27.11,75.91,4.82,17.29,1.72,2.65,247.8,0
6958bb42a2106ae9c65ee88c,2005-04-24T00:00:00.000Z,2005,4,24,27.48,29.04,26.57,82.65,3.44,14.25,2.55,3.84,310.8,0
6958bb42a2106ae9c65ee88d,2005-04-25T00:00:00.000Z,2005,4,25,27.69,29.18,26.45,79.35,0.51,23.19,1.78,2.86,311.2,0
6958bb42a2106ae9c65ee88e,2005-04-26T00:00:00.000Z,2005,4,26,28.44,30.49,26.82,75.95,2.63,19.59,1.96,2.5,320.8,0
6958bb42a2106ae9c65ee88f,2005-04-27T00:00:00.000Z,2005,4,27,28.39,30.22,26.98,75.48,5.31,15.69,2.13,2.91,294.8,0
6958bb42a2106ae9c65ee890,2005-04-28T00:00:00.000Z,2005,4,28,28.41,30.42,26.79,75.18,1.14,20.25,2.15,3,271.4,0
6958bb42a2106ae9c65ee891,2005-04-29T00:00:00.000Z,2005,4,29,28.37,30.79,26.83,78.29,1.74,21.66,1.64,2.53,49.6,0
6958bb42a2106ae9c65ee892,2005-04-30T00:00:00.000Z,2005,4,30,28.04,29.87,26.84,80.64,9.79,18.82,2.48,3.93,345.8,0
6958bb42a2106ae9c65ee893,2005-05-01T00:00:00.000Z,2005,5,1,27.8,29.85,26.15,77.81,8.07,14.64,3.46,4.16,232,0
6958bb42a2106ae9c65ee894,2005-05-02T00:00:00.000Z,2005,5,2,27.82,29.97,26.09,80.33,1.42,14.61,2.33,2.84,263,0
6958bb42a2106ae9c65ee895,2005-05-03T00:00:00.000Z,2005,5,3,27.07,27.97,26.4,88,2.74,19.03,3.85,4.46,304,0
6958bb42a2106ae9c65ee896,2005-05-04T00:00:00.000Z,2005,5,4,27.67,29.99,26,79.59,1.14,16.66,3.98,4.61,251.6,0
6958bb42a2106ae9c65ee897,2005-05-05T00:00:00.000Z,2005,5,5,27.78,30.12,25.94,78.37,1.19,16.14,4.11,5.49,266.4,0
6958bb42a2106ae9c65ee898,2005-05-06T00:00:00.000Z,2005,5,6,28.27,31.05,26.18,74.82,1.21,18.08,3.44,4.75,239.3,0
6958bb42a2106ae9c65ee899,2005-05-07T00:00:00.000Z,2005,5,7,27.96,30.49,26.48,78.38,4,14.38,5.75,7.34,234.1,0
6958bb42a2106ae9c65ee89a,2005-05-08T00:00:00.000Z,2005,5,8,27.27,28.66,26.36,82.77,10.83,14.87,6.87,8.03,232.5,0
6958bb42a2106ae9c65ee89b,2005-05-09T00:00:00.000Z,2005,5,9,27.24,28.71,26.43,82.9,7.22,10.35,8.62,9.92,233.9,0
6958bb42a2106ae9c65ee89c,2005-05-10T00:00:00.000Z,2005,5,10,27.28,28.81,26.32,83.82,4.87,12.96,7.49,8.75,236.4,0
6958bb42a2106ae9c65ee89d,2005-05-11T00:00:00.000Z,2005,5,11,27.44,29.19,26.24,80.29,13.54,12.04,7.56,9.53,231.8,0
6958bb42a2106ae9c65ee89e,2005-05-12T00:00:00.000Z,2005,5,12,26.94,28.39,26.13,83.08,6.08,10.2,7.31,8.89,241.6,0
6958bb42a2106ae9c65ee89f,2005-05-13T00:00:00.000Z,2005,5,13,27.54,29.4,26.04,80.93,6.99,17.98,4.79,5.33,260.5,0
6958bb42a2106ae9c65ee8a0,2005-05-14T00:00:00.000Z,2005,5,14,27.63,29.15,26.5,81.08,14.21,18.32,5.57,6.55,262.2,0
6958bb42a2106ae9c65ee8a1,2005-05-15T00:00:00.000Z,2005,5,15,27.59,29.32,26.34,82.27,16.33,9.75,5.8,7.37,241.4,0
6958bb42a2106ae9c65ee8a2,2005-05-16T00:00:00.000Z,2005,5,16,27.07,28.86,25.61,82.21,7.11,11.99,5.25,7.26,260.9,0
6958bb42a2106ae9c65ee8a3,2005-05-17T00:00:00.000Z,2005,5,17,27.34,30,25.04,79.81,1.02,22.27,4.28,5.55,241.9,0
6958bb42a2106ae9c65ee8a4,2005-05-18T00:00:00.000Z,2005,5,18,27.86,29.69,26.47,80.04,0.45,23.09,3.4,3.97,234.8,0
6958bb42a2106ae9c65ee8a5,2005-05-19T00:00:00.000Z,2005,5,19,28.12,30.71,26.05,75.81,0.04,22.9,3.22,4.06,240,0
6958bb42a2106ae9c65ee8a6,2005-05-20T00:00:00.000Z,2005,5,20,28.02,31.08,25.76,73.9,0.12,22.68,2.9,3.82,229.7,0
6958bb42a2106ae9c65ee8a7,2005-05-21T00:00:00.000Z,2005,5,21,28,31.51,25.4,71.92,0,23.86,3.47,4.12,231.2,0
6958bb42a2106ae9c65ee8a8,2005-05-22T00:00:00.000Z,2005,5,22,28.2,31.66,25.38,70.59,0,22.99,3.88,4.41,223.6,0
6958bb42a2106ae9c65ee8a9,2005-05-23T00:00:00.000Z,2005,5,23,28.37,31.59,25.87,71.83,0.03,22.93,4.08,5.06,223.4,0
6958bb42a2106ae9c65ee8aa,2005-05-24T00:00:00.000Z,2005,5,24,27.57,29.61,26,76.51,0.09,18.99,3.82,4.53,235.6,0
6958bb42a2106ae9c65ee8ab,2005-05-25T00:00:00.000Z,2005,5,25,27,28.55,25.65,79.2,3.51,14.74,2.7,3.18,255,0
6958bb42a2106ae9c65ee8ac,2005-05-26T00:00:00.000Z,2005,5,26,27.73,31.07,25.39,75.65,5.13,21.3,1.78,3.33,323.9,0
6958bb42a2106ae9c65ee8ad,2005-05-27T00:00:00.000Z,2005,5,27,27.58,29.44,26.33,76.44,3.75,18.4,2.34,4.17,225.8,0
6958bb42a2106ae9c65ee8ae,2005-05-28T00:00:00.000Z,2005,5,28,27.65,29.82,25.9,77.29,1.33,19.54,2.89,3.69,234.2,0
6958bb42a2106ae9c65ee8af,2005-05-29T00:00:00.000Z,2005,5,29,27.71,29.23,26.45,77.98,1.54,19.46,2.42,3.21,240,0
6958bb42a2106ae9c65ee8b0,2005-05-30T00:00:00.000Z,2005,5,30,27.21,29.14,25.82,82.3,1.71,11.85,3.66,6.21,261.5,0
6958bb42a2106ae9c65ee8b1,2005-05-31T00:00:00.000Z,2005,5,31,26.93,28.7,25.48,80.73,1.21,12.07,3.93,4.69,239,0
6958bb42a2106ae9c65ee8b2,2005-06-01T00:00:00.000Z,2005,6,1,27.71,30.04,25.97,78.9,3.53,20.22,4.42,5.63,219,0
6958bb42a2106ae9c65ee8b3,2005-06-02T00:00:00.000Z,2005,6,2,27.66,29.61,26.35,79.45,6.68,17.22,5.42,7.33,228.7,0
6958bb42a2106ae9c65ee8b4,2005-06-03T00:00:00.000Z,2005,6,3,27.48,29.49,26.12,81.02,16.93,20.54,5.22,6.65,217.5,0
6958bb42a2106ae9c65ee8b5,2005-06-04T00:00:00.000Z,2005,6,4,27.09,28.61,26.09,84.34,7.16,11.41,6,7.3,227.3,0
6958bb42a2106ae9c65ee8b6,2005-06-05T00:00:00.000Z,2005,6,5,26.55,27.87,25.66,85.47,0.51,15.02,3.83,4.73,256.8,0
6958bb42a2106ae9c65ee8b7,2005-06-06T00:00:00.000Z,2005,6,6,27.05,29.31,25.21,80.63,1.26,23.2,4.2,5.48,239.9,0
6958bb42a2106ae9c65ee8b8,2005-06-07T00:00:00.000Z,2005,6,7,26.67,28.29,25.53,82.65,1.7,14.42,5.87,7,240,0
6958bb42a2106ae9c65ee8b9,2005-06-08T00:00:00.000Z,2005,6,8,27.09,28.92,25.67,81.07,0.39,15.39,6.14,6.69,230.3,0
6958bb42a2106ae9c65ee8ba,2005-06-09T00:00:00.000Z,2005,6,9,27.39,29.3,26.06,82.2,0.89,11.29,5.27,6.2,225.6,0
6958bb42a2106ae9c65ee8bb,2005-06-10T00:00:00.000Z,2005,6,10,26.94,28.11,25.81,83.19,1.37,19.92,2.68,4.01,250.3,0
6958bb42a2106ae9c65ee8bc,2005-06-11T00:00:00.000Z,2005,6,11,27.81,30.4,25.94,76.95,0.36,21.79,2.68,3.94,249.9,0
6958bb42a2106ae9c65ee8bd,2005-06-12T00:00:00.000Z,2005,6,12,27.53,29.26,26.43,81.46,1.62,17.11,6.21,7.68,223.4,0
6958bb42a2106ae9c65ee8be,2005-06-13T00:00:00.000Z,2005,6,13,27.6,30.07,25.9,76.79,1.93,16.55,6.78,7.58,209.8,0
6958bb42a2106ae9c65ee8bf,2005-06-14T00:00:00.000Z,2005,6,14,27.13,28.99,25.51,79.06,1.32,13.58,6.66,8.44,236,0
6958bb42a2106ae9c65ee8c0,2005-06-15T00:00:00.000Z,2005,6,15,27.52,29.86,26.07,79.48,2.84,20.59,5.67,6.87,239.9,0
6958bb42a2106ae9c65ee8c1,2005-06-16T00:00:00.000Z,2005,6,16,27.23,29.04,25.86,80.74,6.45,12.88,7.31,9.22,227.4,0
6958bb42a2106ae9c65ee8c2,2005-06-17T00:00:00.000Z,2005,6,17,27.4,28.91,26.31,82.27,18.97,8.75,8.11,9.87,232.2,0
6958bb42a2106ae9c65ee8c3,2005-06-18T00:00:00.000Z,2005,6,18,27.31,28.97,26.23,82.31,20.35,13.52,7.65,9.59,236,0
6958bb42a2106ae9c65ee8c4,2005-06-19T00:00:00.000Z,2005,6,19,26.47,27.77,25.49,84.98,31.08,11.79,7.96,9.44,236.3,0
6958bb42a2106ae9c65ee8c5,2005-06-20T00:00:00.000Z,2005,6,20,26.2,27.71,25.09,80.88,5.36,14.27,7.96,8.8,209.9,0
6958bb42a2106ae9c65ee8c6,2005-06-21T00:00:00.000Z,2005,6,21,26.78,28.93,25.15,79.03,0.06,18.52,6.43,8.52,222.2,0
