Date,Year,Month,Day,SWRad,StDev,Max
2011-06-09,2011,6,9,925.18,1,1
2011-06-10,2011,6,10,1069.13,1,1
2011-06-11,2011,6,11,1122.39,1,1
2011-06-12,2011,6,12,1044.48,1,1
2011-06-13,2011,6,13,1033.91,1,1
2011-06-14,2011,6,14,550.14,1,1
2011-06-15,2011,6,15,1071.77,1,1
2011-06-16,2011,6,16,1072.21,1,1
2011-06-17,2011,6,17,1029.07,1,1
2011-06-18,2011,6,18,989.01,1,1
2011-06-19,2011,6,19,996.06,1,1
2011-06-20,2011,6,20,1055.92,1,1
2011-06-21,2011,6,21,1051.52,1,1
2011-06-22,2011,6,22,1051.52,1,1
2011-06-23,2011,6,23,1080.57,1,1
2011-06-24,2011,6,24,976.25,1,1
2011-06-25,2011,6,25,1009.26,1,1
2011-06-26,2011,6,26,852.11,1,1
2011-06-27,2011,6,27,911.1,1,1
2011-06-28,2011,6,28,496.0,1,1
2011-06-29,2011,6,29,409.72,1,1
2011-06-30,2011,6,30,1105.66,1,1
2011-07-01,2011,7,1,809.85,1,1
2011-07-02,2011,7,2,1130.31,1,1
2011-07-03,2011,7,3,1021.15,1,1
2011-07-04,2011,7,4,813.82,1,1
2011-07-05,2011,7,5,1001.34,1,1
2011-07-06,2011,7,6,969.2,1,1
2011-07-07,2011,7,7,1091.58,1,1
2011-07-08,2011,7,8,1037.87,1,1
2011-07-09,2011,7,9,1140.88,1,1
2011-07-10,2011,7,10,1037.87,1,1
2011-07-11,2011,7,11,753.51,1,1
2011-07-12,2011,7,12,868.4,1,1
2011-07-13,2011,7,13,523.73,1,1
2011-07-14,2011,7,14,699.37,1,1
2011-07-15,2011,7,15,968.32,1,1
2011-07-16,2011,7,16,1049.76,1,1
2011-07-17,2011,7,17,1006.18,1,1
2011-07-18,2011,7,18,1013.22,1,1
2011-07-19,2011,7,19,936.63,1,1
2011-07-20,2011,7,20,1049.76,1,1
2011-07-21,2011,7,21,894.81,1,1
2011-07-22,2011,7,22,1048.88,1,1
2011-07-23,2011,7,23,1127.67,1,1
2011-07-24,2011,7,24,425.13,1,1
2011-07-25,2011,7,25,1178.73,1,1
2011-07-26,2011,7,26,1306.83,1,1
2011-07-27,2011,7,27,1168.61,1,1
2011-07-28,2011,7,28,1347.33,1,1
2011-07-29,2011,7,29,1205.59,1,1
2011-07-30,2011,7,30,1072.21,1,1
2011-07-31,2011,7,31,1078.37,1,1
2011-08-01,2011,8,1,931.35,1,1
2011-08-02,2011,8,2,1157.17,1,1
2011-08-03,2011,8,3,1049.32,1,1
2011-08-04,2011,8,4,1105.22,1,1
2011-08-05,2011,8,5,1173.45,1,1
2011-08-06,2011,8,6,1051.52,1,1
2011-08-07,2011,8,7,1134.28,1,1
2011-08-08,2011,8,8,1141.32,1,1
2011-08-09,2011,8,9,1131.63,1,1
2011-08-10,2011,8,10,1075.73,1,1
2011-08-11,2011,8,11,1071.33,1,1
2011-08-12,2011,8,12,1176.97,1,1
2011-08-13,2011,8,13,1089.38,1,1
2011-08-14,2011,8,14,1141.76,1,1
2011-08-15,2011,8,15,1195.46,1,1
2011-08-16,2011,8,16,1127.67,1,1
2011-08-17,2011,8,17,1194.58,1,1
2011-08-18,2011,8,18,1114.03,1,1
2011-08-19,2011,8,19,1092.9,1,1
2011-08-20,2011,8,20,1088.94,1,1
2011-08-21,2011,8,21,1148.36,1,1
2011-08-22,2011,8,22,1172.13,1,1
2011-08-23,2011,8,23,777.28,1,1
2011-08-24,2011,8,24,421.6,1,1
2011-08-25,2011,8,25,1395.31,1,1
2011-08-26,2011,8,26,1119.31,1,1
2011-08-27,2011,8,27,1147.48,1,1
2011-08-28,2011,8,28,329.16,1,1
