system:index,NDVI,date,.geo
1_1_1_1_1_1_2_20190209T034911_20190209T035523_T46NGL,0.4950795182566639,2019-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190209T034911_20190209T035523_T46NGM,0.583138133897025,2019-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190209T034911_20190209T035523_T46NHL,0.5366492842979299,2019-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190209T034911_20190209T035523_T46NHM,0.6792633789635971,2019-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190212T035901_20190212T040026_T46NGL,0.6576625676365825,2019-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190212T035901_20190212T040026_T46NGM,0.6337193323153694,2019-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190214T034849_20190214T035821_T46NGL,0.5062493151022408,2019-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190214T034849_20190214T035821_T46NGM,0.43600197394434886,2019-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190214T034849_20190214T035821_T46NHL,0.40997260761689597,2019-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190214T034849_20190214T035821_T46NHM,0.3760882115991429,2019-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190219T034811_20190219T034942_T46NGL,0.517869543181175,2019-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190219T034811_20190219T034942_T46NGM,0.4901962412205527,2019-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190219T034811_20190219T034942_T46NHL,0.5352849472871641,2019-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190219T034811_20190219T034942_T46NHM,0.5697855045507523,2019-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190222T035751_20190222T041519_T46NGL,0.5350030027335243,2019-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190222T035751_20190222T041519_T46NGM,0.48070993495308995,2019-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190227T035719_20190227T041338_T46NGL,0.23632766314381226,2019-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190227T035719_20190227T041338_T46NGM,0.3517540470299619,2019-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190304T035641_20190304T040110_T46NGM,0.4780161473537281,2019-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190309T035609_20190309T041252_T46NGL,0.3992616506385086,2019-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190311T034541_20190311T035011_T46NGM,0.4996850222567654,2019-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190311T034541_20190311T035011_T46NHM,0.6248521122583336,2019-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190316T034529_20190316T040428_T46NGL,0.4357373300140277,2019-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190324T035541_20190324T040928_T46NGM,0.3742352468750281,2019-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190326T034539_20190326T040312_T46NGL,0.5858178866396041,2019-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190326T034539_20190326T040312_T46NHL,0.6543027274816672,2019-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190331T034531_20190331T040123_T46NGL,0.5535956932997417,2019-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190331T034531_20190331T040123_T46NGM,0.525079922694666,2019-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190403T035711_20190403T041225_T46NGL,0.3738642406992394,2019-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190403T035711_20190403T041225_T46NGM,0.4670144398172322,2019-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190405T034539_20190405T040539_T46NGL,0.6624754799147737,2019-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190405T034539_20190405T040539_T46NGM,0.556654960963589,2019-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190408T035539_20190408T041451_T46NGL,0.46319367178623344,2019-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190408T035539_20190408T041451_T46NGM,0.46021395248925634,2019-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190418T035539_20190418T041612_T46NGM,0.34486918824475665,2019-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190503T035541_20190503T041632_T46NGL,0.633539547303845,2019-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190503T035541_20190503T041632_T46NGM,0.5328801468366702,2019-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190513T035541_20190513T040938_T46NGL,0.4549898984840116,2019-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190513T035541_20190513T040938_T46NGM,0.45908091036445037,2019-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190518T035549_20190518T041619_T46NGL,0.4552983920458455,2019-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190518T035549_20190518T041619_T46NGM,0.4140408400164348,2019-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190520T034541_20190520T040004_T46NGL,0.5704744630484856,2019-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190520T034541_20190520T040004_T46NGM,0.533907577099151,2019-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190612T035541_20190612T041024_T46NGL,0.5392346031399321,2019-06-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190614T034539_20190614T040608_T46NGL,0.6769533524977908,2019-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190614T034539_20190614T040608_T46NGM,0.6349717186024422,2019-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190614T034539_20190614T040608_T46NHL,0.6541995488320029,2019-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190614T034539_20190614T040608_T46NHM,0.7138376965583997,2019-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190619T034541_20190619T035128_T46NGL,0.5384723351810663,2019-06-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190619T034541_20190619T035128_T46NHL,0.5217229428580599,2019-06-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
