Date,Year,Month,Day,SWRad,StDev,Max,Q,S,data_quality,source_priority
2007-07-31,2007,7,31,135.07,180.43,622.72,2,5,high,5
2007-08-01,2007,8,1,289.82,372.63,1040.26,2,5,high,5
2007-08-02,2007,8,2,264.62,349.7,1232.0,2,5,high,5
2007-08-03,2007,8,3,289.37,369.83,1055.94,2,5,high,5
2007-08-04,2007,8,4,279.9,363.79,1072.96,2,5,high,5
2007-08-05,2007,8,5,300.43,382.99,1064.9,2,5,high,5
2007-08-06,2007,8,6,293.89,370.12,1130.3,2,5,high,5
2007-08-07,2007,8,7,232.99,315.32,1042.94,2,5,high,5
2007-08-08,2007,8,8,220.72,297.96,1159.42,2,5,high,5
2007-08-09,2007,8,9,237.17,299.1,952.9,2,5,high,5
2007-08-10,2007,8,10,217.62,289.64,909.89,2,5,high,5
2007-08-11,2007,8,11,220.89,326.79,1123.58,2,5,high,5
2007-08-12,2007,8,12,215.76,318.21,1146.88,2,5,high,5
2007-08-13,2007,8,13,108.59,145.56,600.77,2,5,high,5
2007-08-14,2007,8,14,271.69,359.28,1091.33,2,5,high,5
2007-08-15,2007,8,15,117.36,153.86,657.22,2,5,high,5
2007-08-16,2007,8,16,228.59,303.66,914.37,2,5,high,5
2007-08-17,2007,8,17,194.55,287.97,1048.32,2,5,high,5
2007-08-18,2007,8,18,256.31,331.46,1100.29,2,5,high,5
2007-08-19,2007,8,19,99.51,138.03,518.78,2,5,high,5
2007-08-20,2007,8,20,61.88,102.3,716.35,2,5,high,5
2007-08-21,2007,8,21,150.59,224.03,970.37,2,5,high,5
2007-08-22,2007,8,22,188.7,273.21,950.66,2,5,high,5
2007-08-23,2007,8,23,198.83,280.99,1185.41,2,5,high,5
2007-08-24,2007,8,24,259.97,366.58,1149.57,2,5,high,5
2007-08-25,2007,8,25,277.77,381.75,1122.24,2,5,high,5
2007-08-26,2007,8,26,264.54,353.66,1272.32,2,5,high,5
2007-08-27,2007,8,27,289.08,377.93,1167.94,2,5,high,5
2007-08-28,2007,8,28,253.36,348.57,1213.18,2,5,high,5
2007-08-29,2007,8,29,212.21,279.29,889.28,2,5,high,5
2007-08-30,2007,8,30,113.18,183.2,760.7,2,5,high,5
2007-08-31,2007,8,31,113.2,154.2,720.83,2,5,high,5
2007-09-01,2007,9,1,67.14,89.0,314.5,2,5,high,5
2007-09-02,2007,9,2,204.34,299.11,1319.36,2,5,high,5
2007-09-03,2007,9,3,246.68,341.52,1246.34,2,5,high,5
2007-09-04,2007,9,4,256.74,332.2,1145.54,2,5,high,5
2007-09-05,2007,9,5,244.25,323.89,921.54,2,5,high,5
2007-09-06,2007,9,6,228.95,347.09,1093.12,2,5,high,5
2007-09-07,2007,9,7,217.94,352.32,1121.34,2,5,high,5
2007-09-08,2007,9,8,205.8,303.64,1316.67,2,5,high,5
2007-09-09,2007,9,9,245.9,338.23,1304.13,2,5,high,5
2007-09-10,2007,9,10,261.87,377.4,1256.19,2,5,high,5
2007-09-11,2007,9,11,297.52,388.73,1059.07,2,5,high,5
2007-09-12,2007,9,12,287.65,379.27,1204.22,2,5,high,5
2007-09-13,2007,9,13,162.02,239.16,1107.01,2,5,high,5
2007-09-14,2007,9,14,150.4,224.88,1056.83,2,5,high,5
2007-09-15,2007,9,15,173.59,246.75,941.7,2,5,high,5
2007-09-16,2007,9,16,265.81,368.68,1092.67,2,5,high,5
2007-09-17,2007,9,17,221.22,317.84,1196.16,2,5,high,5
2007-09-18,2007,9,18,191.69,265.4,1049.22,2,5,high,5
2007-09-19,2007,9,19,147.32,216.83,981.12,2,5,high,5
2007-09-20,2007,9,20,297.34,382.97,1184.51,2,5,high,5
2007-09-21,2007,9,21,290.95,382.11,1103.87,2,5,high,5
2007-09-22,2007,9,22,288.2,379.19,1078.78,2,5,high,5
2007-09-23,2007,9,23,162.99,266.91,1346.24,2,5,high,5
2007-09-24,2007,9,24,291.5,382.82,1065.34,2,5,high,5
2007-09-25,2007,9,25,277.54,375.35,1323.84,2,5,high,5
2007-09-26,2007,9,26,205.04,306.99,1115.07,2,5,high,5
2007-09-27,2007,9,27,269.19,367.49,1153.15,2,5,high,5
2007-09-28,2007,9,28,285.52,393.28,1058.62,2,5,high,5
2007-09-29,2007,9,29,182.3,253.34,1087.3,2,5,high,5
2007-09-30,2007,9,30,108.78,179.18,1122.24,2,5,high,5
2007-10-01,2007,10,1,188.61,263.62,976.19,2,5,high,5
2007-10-02,2007,10,2,275.53,371.04,1142.85,2,5,high,5
2007-10-03,2007,10,3,253.91,344.77,1071.62,2,5,high,5
2007-10-04,2007,10,4,128.01,189.63,863.3,2,5,high,5
2007-10-05,2007,10,5,70.29,106.15,454.27,2,5,high,5
2007-10-06,2007,10,6,112.96,179.68,1128.06,2,5,high,5
2007-10-08,2007,10,8,252.73,324.62,1060.79,2,1,high,1
2007-10-09,2007,10,9,229.45,322.76,1339.77,2,1,high,1
2007-10-10,2007,10,10,296.98,383.77,1126.93,2,1,high,1
2007-10-11,2007,10,11,280.68,369.33,1142.76,2,1,high,1
2007-10-12,2007,10,12,276.49,379.11,1054.27,2,1,high,1
2007-10-13,2007,10,13,112.08,155.56,689.13,2,1,high,1
2007-10-14,2007,10,14,95.78,131.34,487.0,2,1,high,1
2007-10-15,2007,10,15,173.09,259.42,1293.66,2,1,high,1
2007-10-16,2007,10,16,262.98,375.85,1081.515,2,1,high,1
2007-10-17,2007,10,17,122.33,194.68,869.37,2,1,high,1
2007-10-18,2007,10,18,264.38,373.06,1092.46,2,1,high,1
2007-10-19,2007,10,19,73.42,123.42,513.08,2,1,high,1
2007-10-20,2007,10,20,161.91,216.57,780.42,2,1,high,1
2007-10-21,2007,10,21,55.26,101.07,773.9,2,1,high,1
2007-10-22,2007,10,22,125.12,195.61,908.96,2,1,high,1
2007-10-23,2007,10,23,174.02,265.47,1345.36,2,1,high,1
2007-10-24,2007,10,24,111.15,183.5,972.77,2,1,high,1
2007-10-25,2007,10,25,182.87,302.73,1254.07,2,1,high,1
2007-10-26,2007,10,26,93.45,129.48,456.26,2,1,high,1
2007-10-27,2007,10,27,168.9,229.14,961.59,2,1,high,1
2007-10-28,2007,10,28,242.49,325.55,1144.16,2,1,high,1
2007-10-29,2007,10,29,276.02,364.67,1157.2,2,1,high,1
2007-10-30,2007,10,30,208.49,335.8,1151.61,2,1,high,1
2007-10-31,2007,10,31,198.71,301.8,1088.27,2,1,high,1
2007-11-01,2007,11,1,244.82,339.99,1238.24,2,1,high,1
2007-11-02,2007,11,2,39.43,61.01,233.64,2,1,high,1
2007-11-03,2007,11,3,215.94,306.92,1174.9,2,1,high,1
2007-11-04,2007,11,4,249.47,357.22,1159.06,2,1,high,1
2007-11-05,2007,11,5,276.02,358.15,1066.85,2,1,high,1
2007-11-06,2007,11,6,227.58,311.58,1193.53,2,1,high,1
2007-11-07,2007,11,7,62.71,84.76,308.16,2,1,high,1
2007-11-08,2007,11,8,85.53,166.27,833.04,2,1,high,1
2007-11-09,2007,11,9,65.97,98.74,434.37,2,1,high,1
2007-11-10,2007,11,10,187.53,298.07,1114.35,2,1,high,1
2007-11-11,2007,11,11,263.45,353.5,1103.64,2,1,high,1
2007-11-12,2007,11,12,264.84,354.43,1115.75,2,1,high,1
2007-11-13,2007,11,13,256.46,342.78,1006.77,2,1,high,1
2007-11-14,2007,11,14,278.82,370.26,1156.27,2,1,high,1
2007-11-15,2007,11,15,275.56,367.0,1173.97,2,1,high,1
2007-11-16,2007,11,16,272.76,375.39,1028.66,2,1,high,1
2007-11-17,2007,11,17,296.05,385.17,1099.91,2,1,high,1
2007-11-18,2007,11,18,265.31,371.19,1247.55,2,1,high,1
2007-11-19,2007,11,19,268.1,357.69,1104.57,2,1,high,1
2007-11-20,2007,11,20,174.02,263.61,1113.885,2,1,high,1
2007-11-21,2007,11,21,234.57,341.39,1123.2,2,1,high,1
2007-11-22,2007,11,22,260.65,347.44,1020.27,2,1,high,1
2007-11-23,2007,11,23,264.38,346.98,982.55,2,1,high,1
2007-11-24,2007,11,24,266.71,349.3,977.42,2,1,high,1
2007-11-25,2007,11,25,285.8,373.52,1126.46,2,1,high,1
2007-11-26,2007,11,26,244.35,343.72,1214.95,2,1,high,1
2007-11-27,2007,11,27,235.97,340.46,1105.5,2,1,high,1
2007-11-28,2007,11,28,230.38,343.25,1140.43,2,1,high,1
2007-11-29,2007,11,29,268.57,339.52,995.59,2,1,high,1
2007-11-30,2007,11,30,262.05,355.82,1077.09,2,1,high,1
2007-12-01,2007,12,1,134.9,221.69,1235.91,2,1,high,1
2007-12-02,2007,12,2,67.84,110.85,437.63,2,1,high,1
2007-12-03,2007,12,3,91.12,134.13,471.17,2,1,high,1
2007-12-04,2007,12,4,267.64,357.69,1047.28,2,1,high,1
2007-12-05,2007,12,5,271.83,358.62,1023.07,2,1,high,1
2007-12-06,2007,12,6,271.36,363.74,1078.02,2,1,high,1
2007-12-07,2007,12,7,189.39,285.5,1071.5,2,1,high,1
2007-12-08,2007,12,8,139.56,224.49,1038.44,2,1,high,1
2007-12-09,2007,12,9,65.51,105.72,459.99,2,1,high,1
2007-12-10,2007,12,10,111.62,154.16,584.81,2,1,high,1
2007-12-11,2007,12,11,97.64,146.71,697.05,2,1,high,1
2007-12-12,2007,12,12,139.09,191.42,980.22,2,1,high,1
2007-12-13,2007,12,13,154.93,224.49,1100.38,2,1,high,1
2007-12-14,2007,12,14,142.35,206.79,1109.69,2,1,high,1
2007-12-15,2007,12,15,141.89,195.14,773.9,2,1,high,1
2007-12-16,2007,12,16,249.47,320.43,1021.2,2,1,high,1
2007-12-17,2007,12,17,265.77,351.17,1110.16,2,1,high,1
2007-12-18,2007,12,18,254.13,353.03,1071.04,2,1,high,1
2007-12-19,2007,12,19,269.97,360.48,1051.01,2,1,high,1
2007-12-20,2007,12,20,195.45,282.7,1099.91,2,1,high,1
