system:index,LSWI,date,day,month,year,.geo
2_20180125T035031_20180125T040023_T46NHM,0.41389048853797344,2018-01-25,25,01,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180130T034959_20180130T035717_T46NGL,0.22537655433599094,2018-01-30,30,01,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180130T034959_20180130T035717_T46NGM,0.1971858376075545,2018-01-30,30,01,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180130T034959_20180130T035717_T46NHM,0.22914293702029223,2018-01-30,30,01,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180202T035949_20180202T041629_T46NGL,0.2533379619617895,2018-02-02,02,02,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180202T035949_20180202T041629_T46NGM,0.26232379666555217,2018-02-02,02,02,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180209T034909_20180209T040520_T46NGM,0.1676007222239074,2018-02-09,09,02,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180209T034909_20180209T040520_T46NHM,0.22399541796161332,2018-02-09,09,02,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180212T035849_20180212T041426_T46NGL,0.3336175864222778,2018-02-12,12,02,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180212T035849_20180212T041426_T46NGM,0.2652823470168643,2018-02-12,12,02,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180214T034841_20180214T040242_T46NGL,0.24656634474188346,2018-02-14,14,02,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180214T034841_20180214T040242_T46NHL,0.2755565205543892,2018-02-14,14,02,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180217T035821_20180217T041438_T46NGL,0.3015207261950541,2018-02-17,17,02,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180217T035821_20180217T041438_T46NGM,0.24173906014369062,2018-02-17,17,02,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180219T034759_20180219T040506_T46NGL,0.20623216924410867,2018-02-19,19,02,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180219T034759_20180219T040506_T46NGM,0.19558546029908516,2018-02-19,19,02,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180219T034759_20180219T040506_T46NHM,0.22691880488621147,2018-02-19,19,02,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180309T035601_20180309T041201_T46NGM,0.22402937435631728,2018-03-09,09,03,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180311T034539_20180311T035740_T46NGL,0.19849209772863446,2018-03-11,11,03,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180311T034539_20180311T035740_T46NHM,0.19617755923853553,2018-03-11,11,03,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180314T035529_20180314T040715_T46NGL,0.29399518795146345,2018-03-14,14,03,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180314T035529_20180314T040715_T46NGM,0.23493250045012398,2018-03-14,14,03,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180314T035529_20180314T041638_T46NGL,0.2986748931953341,2018-03-14,14,03,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180314T035529_20180314T041638_T46NGM,0.23493250045012398,2018-03-14,14,03,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180319T035531_20180319T040557_T46NGM,0.2043406292878795,2018-03-19,19,03,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180321T034529_20180321T040215_T46NGL,0.27948630519956985,2018-03-21,21,03,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180403T035539_20180403T040821_T46NGL,0.22862849837641805,2018-04-03,03,04,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180413T035539_20180413T041448_T46NGM,0.14008671526409658,2018-04-13,13,04,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180428T035541_20180428T035843_T46NGL,0.30429153659077796,2018-04-28,28,04,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180428T035541_20180428T035843_T46NGM,0.22572645363424218,2018-04-28,28,04,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180510T034539_20180510T040549_T46NHM,0.23108234324907426,2018-05-10,10,05,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180513T035539_20180513T041015_T46NGL,0.20390852164246803,2018-05-13,13,05,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180513T035539_20180513T041015_T46NGM,0.1949451453058419,2018-05-13,13,05,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180515T034541_20180515T034939_T46NGM,0.20646489281473854,2018-05-15,15,05,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180515T034541_20180515T034939_T46NHM,0.26970017374699823,2018-05-15,15,05,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180525T034541_20180525T040613_T46NHM,0.2927882604476188,2018-05-25,25,05,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180602T035709_20180602T041116_T46NGM,0.2159351008972602,2018-06-02,02,06,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180612T035539_20180612T041553_T46NGL,0.32734548971317173,2018-06-12,12,06,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180612T035539_20180612T041553_T46NGM,0.25002375053130105,2018-06-12,12,06,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180614T034531_20180614T035000_T46NGM,0.22187089728474543,2018-06-14,14,06,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20180622T035539_20180622T041638_T46NGL,0.301514532238428,2018-06-22,22,06,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
