id_periode,id_petani,bulan_tanam,luas_tanam_m2,bulan_panen,luas_panen_m2,produksi_dalam_gunca,gunca_kg,pengeluaran_rp,harga_jual_perkg,hasil_panen_dijual,status_pengelolaan,jml_tanam_padi_1th,jenis_lahan,air_multi_tanam,pemupukan,jenis_pupuk,pengendalian_hama,jenis_hama,penyakit_padi,pestisida,pengendalian_gulma,cara_pengendalian_gulma
PRD098,PTN061,agt - okt,10000,Oktober,10000,9,1620,4.000.000,-,Tidak,Milik sendiri,1,Sawah tadah hujan,Mencukupi,Ada pemupukan,KCL,Ada,"Tikus, Siput Murbai/Keong, walang sangit, Tulo/burung pipit, Wereng",Busuk batang,Ada,Ada,Herbisida/Mencabut rumput
PRD099,PTN062,agt - okt,300,Oktober,300,5,1452,1.000.000,-,Tidak,Milik sendiri,1,Sawah tadah hujan,Mencukupi,Ada pemupukan,KCL,Ada,"Tikus, Siput Murbai/Keong, Tulo/burung pipit, walang sangit",Busuk batang,Ada,Ada,Herbisida/Mencabut rumput
PRD100,PTN063,agt - okt,10000,Oktober,10000,10,1800,2.000.000,-,Tidak,Milik sendiri,1,Sawah tadah hujan,Mencukupi,Ada pemupukan,KCL,Ada,"Tikus, Siput Murbai/Keong, Tulo/burung pipit, walang sangit",Busuk batang,Ada,Ada,Herbisida/Mencabut rumput
PRD101,PTN064,agt - okt,10000,Oktober,10000,10,1800,3.000.000,-,Tidak,Milik sendiri,1,Sawah tadah hujan,Mencukupi,Ada pemupukan,KCL,Ada,"Tikus, Siput Murbai/Keong, Tulo/burung pipit, walang sangit",Busuk batang,Ada,Ada,Herbisida/Mencabut rumput
PRD102,PTN065,agt - okt,10000,Oktober,10000,-,-,,-,Tidak,Milik sendiri,1,Sawah tadah hujan,Mencukupi,Ada pemupukan,KCL,Ada,"Tikus, Siput Murbai/Keong, Tulo/burung pipit, walang sangit",Busuk batang,Ada,Ada,Herbisida/Mencabut rumput
PRD103,PTN066,agt - okt,10000,Oktober,10000,-,-,,-,Tidak,Milik sendiri,1,Sawah tadah hujan,Mencukupi,Ada pemupukan,KCL,Ada,"Tikus, Siput Murbai/Keong, Tulo/burung pipit, walang sangit",Busuk batang,Ada,Ada,Herbisida/Mencabut rumput
PRD104,PTN067,agt - okt,300,Oktober,300,5,,1.000.000,-,Tidak,Milik sendiri,1,Sawah tadah hujan,Mencukupi,Ada pemupukan,KCL,Ada,"Tikus, Siput Murbai/Keong, Tulo/burung pipit, walang sangit",Busuk batang,Ada,Ada,Herbisida/Mencabut rumput
PRD105,PTN068,feb - apr,3750,April,3750,12,2100,5.000.000,6500,Ya sebagian,Milik sendiri,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Tulo/burung pipit, Wereng, penggerek batang padi","Blas, Bercak daun",Ada,Ada,Herbisida/Mencabut rumput
PRD106,PTN069,mei - juli,3750,Agustus,3750,11,2000,5.000.000,6500,Ya sebagian,Milik sendiri,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Tulo/burung pipit, Wereng, penggerek batang padi","Blas, Bercak daun",Ada,Ada,Herbisida/Mencabut rumput
PRD107,PTN070,agt - okt,300,Februari,300,1.5,270,1.000.000,-,Tidak,Milik sendiri,1,Sawah tadah hujan,Mencukupi,Ada pemupukan,KCL,Ada,"Tikus, Tulo/burung pipit, walang sangit, Siput Murbai/Keong",Busuk batang,Ada,Ada,Mencabut rumput
