Date,Year,month,day,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS10M,WS10M_MAX,WD10M
9/2/2025,2025,2,9,26.99,29.36,24.71,77.84,0.21,18.25,2.07,3.45,50
8/2/2025,2025,2,8,26.32,28.41,24.25,79.77,0,20.65,2.26,3.76,83
7/2/2025,2025,2,7,26.71,28.95,25.16,82.07,0.09,22.15,2.44,3.45,17.2
6/2/2025,2025,2,6,26.8,28.91,24.99,83.93,0.13,18.19,1.97,2.98,7.8
5/2/2025,2025,2,5,26.67,29.24,24.35,79.86,0.4,19.6,1.6,3.08,95.7
4/2/2025,2025,2,4,26.5,29.05,24.5,80.39,0.01,19.65,1.93,3.44,18
3/2/2025,2025,2,3,26.57,29.53,24.35,82.44,0,21.88,2.25,3.32,9.5
2/2/2025,2025,2,2,25.75,28.13,24.1,82.89,0.01,18.4,4.04,6.34,337.7
1/2/2025,2025,2,1,26.25,29.04,24.39,79.13,0,15.39,2.95,4.62,354.9
31/1/2025,2025,1,31,25.93,28.38,24.05,79.77,0.01,22.86,2.85,4.58,30.1
30/1/2025,2025,1,30,26.06,28.11,24.69,82.09,0.46,19.46,3.25,4.88,73.1
29/1/2025,2025,1,29,26.19,28.82,24.61,86,0.96,17.43,3.54,5.67,81.3
28/1/2025,2025,1,28,26.07,27.48,25.07,88.23,4.69,14.18,4.39,6.04,93
27/1/2025,2025,1,27,26.48,29.03,24.33,85.45,3.64,18.87,2.59,4.02,104.8
26/1/2025,2025,1,26,26.1,27.57,25.08,90.83,3.19,9.39,2.6,3.67,69.6
25/1/2025,2025,1,25,26.76,28.77,24.84,87.14,4.93,16.16,2.01,3.18,69.3
24/1/2025,2025,1,24,26.26,28,25.02,86.35,3.56,12.32,2.03,3.09,63
23/1/2025,2025,1,23,26.05,28.12,24.44,87.18,2.29,11.05,2.54,4.48,91.6
22/1/2025,2025,1,22,26.06,28.22,24.36,82.9,1.6,11.48,1.8,2.61,104.9
21/1/2025,2025,1,21,26.39,28.9,24.64,81.95,0.18,21.81,1.6,3.34,47.7
20/1/2025,2025,1,20,26.29,28.62,24.67,84.42,0.23,19.81,2.45,4.65,58.3
19/1/2025,2025,1,19,26.11,28.07,24.51,85.26,1.26,16.56,1.97,3.34,64.8
18/1/2025,2025,1,18,26.07,27.67,24.91,86.67,9.19,14.84,3.4,5.98,70.7
17/1/2025,2025,1,17,26.22,28.16,24.94,87.01,2.53,16.74,4.17,6.17,93.9
16/1/2025,2025,1,16,25.96,27.39,24.28,91.46,18.43,10.64,3.27,4.46,63
15/1/2025,2025,1,15,25.81,28.42,24.28,85.49,15.72,15.4,2.51,3.67,46.6
14/1/2025,2025,1,14,26.15,28.18,24.73,85.36,5.18,18.07,3.78,4.96,66
13/1/2025,2025,1,13,25.9,27.47,24.65,87.12,12.67,15.13,4.34,6.36,78.6
12/1/2025,2025,1,12,25.34,27.11,23.66,88.49,22.47,12.01,3.55,4.76,94
11/1/2025,2025,1,11,25.34,26.27,24.25,89.86,21.98,12.6,3.73,4.56,95.7
10/1/2025,2025,1,10,26.88,28.95,25.33,80.78,0.35,20.47,2.66,3.68,64.4
9/1/2025,2025,1,9,27,28.85,25.57,82.55,1.26,18.38,2.25,3.59,38.3
